access_date,Event_context,Component,Event_name,Description,Origin,matrik,KOD KURSUS
9/7/2020,Attendance: Attendance SKR3200,Attendance,Session report viewed,User with id 12564 viewed attendance sessions for student with id 12564,web,34220,SSE4301
9/7/2020,URL: Scalar Quantization : Part 1,System,Course module created,The user with id '977' created the 'url' activity with course module id '95299'.,web,5818A0,SSK4407
9/7/2020,Attendance: Attendance SKR3200,Attendance,Session report viewed,User with id 26485 viewed attendance sessions for student with id 26485,web,842820,SSK3313
9/7/2020,Attendance: Attendance SKR3200,Attendance,Attendance taken by student,Student with id 26485 took attendance with instanceid 606,web,842820,SSK4610
9/7/2020,URL: Scalar Quantization : Part 3,System,Course module created,The user with id '977' created the 'url' activity with course module id '95302'.,web,5818A0,SSK3207
9/7/2020,Assignment: Lab 05 Submission,Assignment,Course module viewed,The user with id '26973' viewed the 'assign' activity with course module id '94692'.,web,207519,SSK4617
9/7/2020,Assignment: Assignment 1 ,Assignment,The status of the submission has been viewed.,The user with id '26135' has viewed the submission status page for the assignment with course module id '27061'.,web,104719,SKR3308
9/7/2020,Assignment: Lab 05 Submission,Assignment,The status of the submission has been viewed.,The user with id '26973' has viewed the submission status page for the assignment with course module id '94692'.,web,207519,SSK3101
9/7/2020,Assignment: Assignment 1 ,Assignment,Course module viewed,The user with id '26135' viewed the 'assign' activity with course module id '27061'.,web,104719,SIM4208
9/7/2020,Attendance: Attendance SKR3200,Attendance,Session report viewed,User with id 3532 viewed attendance sessions for student with id 3532,web,561520,SKR3305
9/7/2020,Attendance: Attendance SKR3200,Attendance,Attendance taken by student,Student with id 12682 took attendance with instanceid 606,web,601420,SSK3313
9/7/2020,URL: Scalar Quantization : Part 4,System,Course module created,The user with id '977' created the 'url' activity with course module id '95303'.,web,5818A0,SSK4407
9/7/2020,Attendance: Attendance SKR3200,Attendance,Session report viewed,User with id 12682 viewed attendance sessions for student with id 12682,web,601420,SKR3308
9/7/2020,Attendance: Attendance SKR3200,Attendance,Session report viewed,User with id 12682 viewed attendance sessions for student with id 12682,web,601420,SKM4212
9/7/2020,Attendance: Attendance SKR3200,Attendance,Session report viewed,User with id 18789 viewed attendance sessions for student with id 18789,web,203520,SSK3118
9/7/2020,URL: Vector Quantization : Part 2,System,Course module created,The user with id '977' created the 'url' activity with course module id '95306'.,web,5818A0,SSE4301
9/7/2020,File: Lab Exercise Document Part 2,File,Course module viewed,The user with id '770' viewed the 'resource' activity with course module id '84522'.,web,4323A0,SSE4301
9/7/2020,Attendance: Attendance SKR3200,Attendance,Session report viewed,User with id 18789 viewed attendance sessions for student with id 18789,web,203520,SKR4301
9/7/2020,Attendance: Attendance SKR3200,Attendance,Attendance taken by student,Student with id 12022 took attendance with instanceid 606,web,685020,SKM4212
9/7/2020,Attendance: Attendance SKR3200,Attendance,Session report viewed,User with id 6513 viewed attendance sessions for student with id 6513,web,905020,SSE4306
9/7/2020,URL: Vector Quantization : Part 1,System,Course module created,The user with id '977' created the 'url' activity with course module id '95305'.,web,5818A0,SKR4202
9/7/2020,Attendance: Attendance SKR3200,Attendance,Session report viewed,User with id 12022 viewed attendance sessions for student with id 12022,web,685020,SSK3102
9/7/2020,Attendance: Attendance SKR3200,Attendance,Attendance taken by student,Student with id 12684 took attendance with instanceid 606,web,383820,SKM4212
