access_date,Event_context,Component,Event_name,Description,Origin,matrik,KOD KURSUS
2020-09-07,Course: SSK3101-9: PENGATURCARAAN KOMPUTER II (COMPUTER PROGRAMMING II),System,Course viewed,The user with id '27307' viewed the course with id '3092'.,web,722120,SSK4407
2020-09-07,Course: SSE3307-1: ANTARA MUKA PENGGUNA DAN PENGALAMAN PENGGUNA(USER INTERFACE AND USER EXPERIENCE),System,Course viewed,The user with id '26600' viewed the course with id '3959'.,web,967919,SSE3151
2020-09-07,Course: SSK3003-3: STRUKTUR DISKRET(DISCRETE STRUCTURES),System,Course viewed,The user with id '439' viewed the course with id '4487'.,web,1846A0,SSE3151
2020-09-07,Course: SSK3101-9: PENGATURCARAAN KOMPUTER II (COMPUTER PROGRAMMING II),System,Course viewed,The user with id '27307' viewed the course with id '3092'.,web,722120,SSK4407
2020-09-07,Course: SSK3003-3: STRUKTUR DISKRET(DISCRETE STRUCTURES),System,Grade item updated,The user with id '439' updated a grade item with id '23171' of type 'mod' and name 'Project 2' in the course with the id '4487'.,web,1846A0,SSK4602
2020-09-07,Course: SSK3003-3: STRUKTUR DISKRET(DISCRETE STRUCTURES),System,Grade item updated,The user with id '439' updated a grade item with id '23171' of type 'mod' and name 'Project 2' in the course with the id '4487'.,web,1846A0,SKM3203
2020-09-07,Course: SSK3003-3: STRUKTUR DISKRET(DISCRETE STRUCTURES),System,Calendar event updated,The user with id '439' updated the event 'Project 2 is due' with id '29710'.,web,1846A0,SSE4356
2020-09-07,Course: SSK3101-9: PENGATURCARAAN KOMPUTER II (COMPUTER PROGRAMMING II),System,Course viewed,The user with id '13437' viewed the course with id '3092'.,web,140720,SKR4307
2020-09-07,Course: SSK3003-3: STRUKTUR DISKRET(DISCRETE STRUCTURES),System,Course viewed,The user with id '439' viewed the course with id '4487'.,web,1846A0,SSK4506
2020-09-07,Course: SSK3003-3: STRUKTUR DISKRET(DISCRETE STRUCTURES),System,Course viewed,The user with id '439' viewed the course with id '4487'.,web,1846A0,SSK4505
2020-09-07,Course: SSK3101-13: PENGATURCARAAN KOMPUTER II (COMPUTER PROGRAMMING II),System,Course viewed,The user with id '2953' viewed the course with id '3083'.,web,557719,SSK3100
2020-09-07,Course: SSK3207-4: ORGANISASI KOMPUTER DAN BAHASA HIMPUNAN (COMPUTER ORGANIZATION AND ASSEMBLY LANGUAGE),System,Course viewed,The user with id '22309' viewed the course with id '3098'.,web,822120,SSK3102
2020-09-07,Course: SSK3207-4: ORGANISASI KOMPUTER DAN BAHASA HIMPUNAN (COMPUTER ORGANIZATION AND ASSEMBLY LANGUAGE),System,Course viewed,The user with id '22309' viewed the course with id '3098'.,web,544019,SSE4351
2020-09-07,Course: SSK3101-9: PENGATURCARAAN KOMPUTER II (COMPUTER PROGRAMMING II),System,Course viewed,The user with id '13410' viewed the course with id '3092'.,web,332320,SSE4306
2020-09-07,Course: SSK3101-9: PENGATURCARAAN KOMPUTER II (COMPUTER PROGRAMMING II),System,Course viewed,The user with id '20723' viewed the course with id '3092'.,web,023820,SSK4506
2020-09-07,Course: SSK3003-3: STRUKTUR DISKRET(DISCRETE STRUCTURES),System,User list viewed,The user with id '439' viewed the list of users in the course with id '4487'.,web,1846A0,SKR4202
2020-09-07,Course: SKR4404-1: PENGKOMPUTERAN AWAN  (CLOUD COMPUTING),System,Course viewed,The user with id '22051' viewed the course with id '3033'.,web,042519,SSK4508
2020-09-07,Course: SSK4602-4: KOMPUTERAN CERDAS (INTELLIGENT COMPUTING),System,Course viewed,The user with id '14167' viewed the course with id '3121'.,web,976619,SSK4506
2020-09-07,Course: SKR4404-1: PENGKOMPUTERAN AWAN  (CLOUD COMPUTING),System,Course viewed,The user with id '22051' viewed the course with id '3033'.,web,042519,SSE4306
2020-09-07,Course: SKR4404-1: PENGKOMPUTERAN AWAN  (CLOUD COMPUTING),System,Course viewed,The user with id '22051' viewed the course with id '3033'.,web,042519,SSK3003
2020-09-07,Course: SKR3309-1: PROTOKOL RANGKAIAN (NETWORK PROTOCOLS),System,Course viewed,The user with id '3962' viewed the course with id '3025'.,web,046619,SSE4306
2020-09-07,Course: SKR4404-1: PENGKOMPUTERAN AWAN  (CLOUD COMPUTING),System,Course viewed,The user with id '22051' viewed the course with id '3033'.,web,042519,SKM4201
2020-09-07,Course: SSK3101-9: PENGATURCARAAN KOMPUTER II (COMPUTER PROGRAMMING II),System,Course viewed,The user with id '14011' viewed the course with id '3092'.,web,302320,SSE4356
2020-09-07,Course: SKR3200-2: KOMUNIKASI DAN RANGKAIAN KOMPUTER (COMMUNICATION AND COMPUTER NETWORKS),System,Course viewed,The user with id '770' viewed the course with id '3011'.,web,4323A0,SIM4208
2020-09-07,Course: SSE3307-1: ANTARA MUKA PENGGUNA DAN PENGALAMAN PENGGUNA(USER INTERFACE AND USER EXPERIENCE),System,Course viewed,The user with id '26600' viewed the course with id '3959'.,web,967919,SSK4602
2020-09-07,Course: SKR3200-2: KOMUNIKASI DAN RANGKAIAN KOMPUTER (COMMUNICATION AND COMPUTER NETWORKS),System,Course viewed,The user with id '770' viewed the course with id '3011'.,web,4323A0,SSK3408
2020-09-07,Course: SKR4404-1: PENGKOMPUTERAN AWAN  (CLOUD COMPUTING),System,Course viewed,The user with id '22051' viewed the course with id '3033'.,web,042519,SKM4212
2020-09-07,Course: SSK3207-4: ORGANISASI KOMPUTER DAN BAHASA HIMPUNAN (COMPUTER ORGANIZATION AND ASSEMBLY LANGUAGE),System,Course viewed,The user with id '22309' viewed the course with id '3098'.,web,544019,SSE3150
2020-09-07,Course: SKR4404-1: PENGKOMPUTERAN AWAN  (CLOUD COMPUTING),System,Course viewed,The user with id '22051' viewed the course with id '3033'.,web,042519,SKR3307
2020-09-07,Course: SSK3207-4: ORGANISASI KOMPUTER DAN BAHASA HIMPUNAN (COMPUTER ORGANIZATION AND ASSEMBLY LANGUAGE),System,Course viewed,The user with id '22309' viewed the course with id '3098'.,web,822120,SKM4212
2020-09-07,Course: SKR4404-1: PENGKOMPUTERAN AWAN  (CLOUD COMPUTING),System,Course viewed,The user with id '22051' viewed the course with id '3033'.,web,042519,SSK4505
2020-09-07,Course: SSK4407-2: ANALITIK BISNES (BUSINESS ANALYTICS),System,Course viewed,The user with id '27882' viewed the course with id '3115'.,web,164019,SSE3151
2020-09-07,Course: SKR4404-1: PENGKOMPUTERAN AWAN  (CLOUD COMPUTING),System,Course viewed,The user with id '22051' viewed the course with id '3033'.,web,042519,SSK4506
2020-09-07,Course: SSE3202-1: INTERAKSI MANUSIA-KOMPUTER (HUMAN-COMPUTER INTERACTION),System,Course viewed,The user with id '14167' viewed the course with id '3055'.,web,976619,SIM3251
2020-09-07,Course: SKR3200-2: KOMUNIKASI DAN RANGKAIAN KOMPUTER (COMMUNICATION AND COMPUTER NETWORKS),System,Course viewed,The user with id '770' viewed the course with id '3011'.,web,4323A0,SKR4301
2020-09-07,Course: SSE3307-1: ANTARA MUKA PENGGUNA DAN PENGALAMAN PENGGUNA(USER INTERFACE AND USER EXPERIENCE),System,Course viewed,The user with id '26671' viewed the course with id '3959'.,web,776719,SSE4356
2020-09-07,Course: SKR3200-2: KOMUNIKASI DAN RANGKAIAN KOMPUTER (COMMUNICATION AND COMPUTER NETWORKS),System,Course viewed,The user with id '770' viewed the course with id '3011'.,web,4323A0,SSE3151
2020-09-07,Course: SKR3308-1: PENGATURCARAAN SELARI DAN TERAGIH (PARALLEL AND DISTRIBUTED PROGRAMMING),System,Course viewed,The user with id '22051' viewed the course with id '3024'.,web,042519,SSK3100
2020-09-07,Course: SKR4404-1: PENGKOMPUTERAN AWAN  (CLOUD COMPUTING),System,Course viewed,The user with id '22051' viewed the course with id '3033'.,web,042519,SSK3207
2020-09-07,Course: SKR4301-1: PENGURUSAN RANGKAIAN (NETWORK MANAGEMENT),System,Course viewed,The user with id '22051' viewed the course with id '3029'.,web,042519,SKR4307
2020-09-07,Course: SSK3003-1: STRUKTUR DISKRET (DISCRETE STRUCTURES),System,Course viewed,The user with id '14531' viewed the course with id '3076'.,web,892420,SKR3504
2020-09-07,Course: SKR4301-1: PENGURUSAN RANGKAIAN (NETWORK MANAGEMENT),System,Course viewed,The user with id '18234' viewed the course with id '3029'.,web,124319,SIM3251
2020-09-07,Course: SSE3202-1: INTERAKSI MANUSIA-KOMPUTER (HUMAN-COMPUTER INTERACTION),System,Course viewed,The user with id '14167' viewed the course with id '3055'.,web,976619,SIM4207
2020-09-07,Course: SIM4207-4: ETIKA DALAM PENGKOMPUTERAN (ETHICS IN COMPUTING),System,Course viewed,The user with id '18234' viewed the course with id '2956'.,web,124319,SKM4201
2020-09-07,Course: SSE4300-1: PENGURUSAN PROJEK PERISIAN (SOFTWARE PROJECT MANAGEMENT),System,Course viewed,The user with id '3877' viewed the course with id '3064'.,web,764019,SIM3251
2020-09-07,Course: SKR3200-2: KOMUNIKASI DAN RANGKAIAN KOMPUTER (COMMUNICATION AND COMPUTER NETWORKS),System,Course viewed,The user with id '2484' viewed the course with id '3011'.,web,124520,SSE3305
2020-09-07,Course: SIM4207-4: ETIKA DALAM PENGKOMPUTERAN (ETHICS IN COMPUTING),System,Course viewed,The user with id '18234' viewed the course with id '2956'.,web,124319,SKR3202
2020-09-07,Course: SSE3202-1: INTERAKSI MANUSIA-KOMPUTER (HUMAN-COMPUTER INTERACTION),System,Course viewed,The user with id '14167' viewed the course with id '3055'.,web,976619,SKM4201
2020-09-07,Course: SSE4300-1: PENGURUSAN PROJEK PERISIAN (SOFTWARE PROJECT MANAGEMENT),System,Course viewed,The user with id '3877' viewed the course with id '3064'.,web,764019,SSE3150
2020-09-07,Course: SIM4207-4: ETIKA DALAM PENGKOMPUTERAN (ETHICS IN COMPUTING),System,Course viewed,The user with id '18234' viewed the course with id '2956'.,web,124319,SSE4351
